2026-03-04 17:31:13 | Key: n
2026-03-04 17:31:13 | Key: o
2026-03-04 17:31:24 | Key: h
2026-03-04 17:31:24 | Key: e
2026-03-04 17:31:24 | Key: l
2026-03-04 17:31:24 | Key: l
2026-03-04 17:31:24 | Key: o
2026-03-04 17:31:25 | Special Key: Key.space
2026-03-04 17:31:26 | Key: m
2026-03-04 17:31:26 | Key: y
2026-03-04 17:31:26 | Special Key: Key.space
2026-03-04 17:31:27 | Key: p
2026-03-04 17:31:27 | Key: a
2026-03-04 17:31:27 | Key: s
2026-03-04 17:31:27 | Key: s
2026-03-04 17:31:28 | Key: w
2026-03-04 17:31:28 | Key: o
2026-03-04 17:31:28 | Key: r
2026-03-04 17:31:28 | Key: d
2026-03-04 17:31:28 | Special Key: Key.space
2026-03-04 17:31:28 | Key: i
2026-03-04 17:31:29 | Key: s
2026-03-04 17:31:29 | Special Key: Key.space
2026-03-04 17:31:29 | Key: a
2026-03-04 17:31:30 | Key: b
2026-03-04 17:31:30 | Key: c
2026-03-04 17:31:30 | Key: d
2026-03-04 17:31:31 | Key: e
2026-03-04 17:31:32 | Key: f
2026-03-04 17:31:32 | Key: g
2026-03-04 17:31:32 | Key: h
2026-03-04 17:31:33 | Special Key: Key.ctrl_l
2026-03-04 17:31:33 | Key: 
